Age,Still Alive,Still Alive
0,100000,100000
1,99348,99462
2,99302,99425
3,99273,99403
4,99252,99387
5,99235,99373
6,99219,99361
7,99205,99351
8,99192,99341
9,99180,99331
10,99170,99322
11,99161,99312
12,99151,99303
13,99138,99291
14,99119,99278
15,99091,99262
16,99052,99243
17,99003,99220
18,98943,99194
19,98870,99165
20,98785,99132
21,98685,99095
22,98572,99054
23,98449,99010
24,98321,98963
25,98191,98915
26,98060,98864
27,97928,98811
28,97795,98755
29,97659,98697
30,97519,98635
31,97376,98569
32,97230,98500
33,97080,98426
34,96927,98348
35,96772,98265
36,96612,98176
37,96448,98081
38,96277,97979
39,96097,97870
40,95908,97753
41,95708,97627
42,95493,97491
43,95262,97343
44,95012,97182
45,94739,97004
46,94441,96810
47,94115,96597
48,93759,96364
49,93368,96109
50,92940,95829
51,92472,95524
52,91961,95193
53,91406,94834
54,90804,94449
55,90153,94038
56,89450,93598
57,88693,93126
58,87883,92623
59,87022,92090
60,86112,91526
61,85147,90927
62,84125,90287
63,83042,89600
64,81899,88858
65,80691,88054
66,79412,87177
67,78054,86223
68,76613,85187
69,75084,84069
70,73461,82864
71,71732,81561
72,69889,80147
73,67930,78616
74,65853,76961
75,63657,75177
76,61329,73244
77,58859,71148
78,56249,68888
79,53504,66467
80,50629,63880
81,47621,61114
82,44484,58159
83,41233,55016
84,37890,51694
85,34482,48205
86,31040,44565
87,27598,40796
88,24201,36933
89,20896,33017
90,17735,29104
91,14768,25257
92,12043,21542
93,9599,18027
94,7463,14775
95,5647,11839
96,4157,9267
97,2977,7083
98,2075,5285
99,1410,3852
100,935,2745
101,605,1909
102,380,1292
103,232,850
104,137,541
105,78,333
106,43,197
107,23,112
108,11,61
109,5,31
110,2,15
111,1,7
112,0,3
113,0,1
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
